"Age","Commute Distance","Weekly Working Hours","Productivity Before","Productivity After","Training Hours","Employee performance","Years of Experience","Gross Income","Bonus","Team Size","Male_Gender","Female_Gender","Single_Marital Status","Married_Marital Status","Full-Time_Employee Type","Part-Time_Employee Type","Contract_Employee Type","Remote_Employee Type","Flexible_Shift Type","Day_Shift Type","Night_Shift Type","Tabriz_Location","Mashhad_Location","Other Cities_Location","Karaj_Location","Tehran_Location","Shiraz_Location","Isfahan_Location","Public_Vehicle type","Private_Vehicle type","Poor_Health Status","Average_Health Status","Good_Health Status","Finance_Department","Design_Department","Management_Department","IT_Department","Sales_Department","Marketing_Department","Operations_Department","R&D_Department","HR_Department","Yes_Overtime","No_Overtime","No_Promotion Status","Yes_Promotion Status","Advanced_English Language Level","Basic_English Language Level","Intermediate_English Language Level","Percentage_Bonus Type","Fixed_Bonus Type","Quality-Supervisor_Current Skill","UI-Design_Current Skill","Sale_Current Skill","Production_Current Skill","UX-Design_Current Skill","Finance_Current Skill","Data-Science_Current Skill","Project-Management_Current Skill","Business Strategy_Current Skill","Marketing_Current Skill","Programming_Current Skill","Artificial-Intelligence_Current Skill","Customer-Relation_Current Skill","Management_Current Skill","Low_Employee Satisfaction","Medium_Employee Satisfaction","High_Employee Satisfaction","Workshop_Training Type","None_Training Type","In-Person_Training Type","Online_Training Type","Senior_Job Level","Mid-Level_Job Level","Junior_Job Level","Intern_Job Level","PhD_Education Level","Master_Education Level","Diploma_Education Level","Bachelor_Education Level","No_Insurance Status","Yes_Insurance Status","None_Insurance Type","Both_Insurance Type","Life_Insurance Type","Health_Insurance Type","Manager_Work Position","Employee_Work Position","Cluster","Cluster (#1)","Prediction (Cluster)","Prediction_Final"
69.23076923076923,83.33333333333333,25.641025641025642,32.653061224489804,39.70588235294117,47.89915966386555,50,87.5,83.8809721052302,6.372303060712495,50,100,0,100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,0,"cluster_2","cluster_2","cluster_2","Increased responsibility and promotion path"
100,79.16666666666666,69.23076923076923,51.020408163265316,36.764705882352935,0,37.5,62.5,98.5067561452728,8.881083793276469,78.57142857142857,100,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,100,0,0,0,100,0,"cluster_2","cluster_2","cluster_2","Increased responsibility and promotion path"
73.0769230769231,72.91666666666666,35.89743589743589,12.244897959183689,29.41176470588234,83.19327731092437,12.5,87.5,82.45421066920996,74.8118414450577,100,100,0,100,0,0,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,0,"cluster_2","cluster_2","cluster_2","Increased responsibility and promotion path"
80.76923076923077,58.33333333333332,51.28205128205128,24.489795918367363,41.17647058823528,54.621848739495796,0,50,41.27862050721561,18.615153035624687,0,0,100,100,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,100,0,0,0,100,0,100,0,0,0,0,100,"cluster_1","cluster_1","cluster_1","Specialized skill improvement and regular feedback"
42.30769230769232,14.583333333333332,74.35897435897436,57.14285714285715,41.17647058823528,0,0,25,20.04114252299039,15.45408931259408,0,100,0,100,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,100,0,100,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,100,0,0,100,0,100,0,0,0,0,100,"cluster_1","cluster_1","cluster_1","Specialized skill improvement and regular feedback"
0,39.58333333333332,51.28205128205128,48.9795918367347,55.88235294117646,57.142857142857146,12.5,0,0.6616915076541812,85.69994982438534,0,0,100,100,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,100,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,100,0,100,0,100,0,0,0,0,100,"cluster_1","cluster_1","cluster_1","Specialized skill improvement and regular feedback"
61.53846153846155,0,38.46153846153846,89.79591836734694,85.29411764705881,33.61344537815126,0,50,64.5718323389977,19.192172604114404,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,100,0,100,0,0,0,100,"cluster_0","cluster_0","cluster_0","Time management training + Personal coaching"
69.23076923076923,91.66666666666666,33.333333333333336,100,91.17647058823528,99.15966386554622,50,100,34.82912974165837,7.777220270948321,50,0,100,100,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0,100,0,100,0,100,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,0,100,0,100,0,0,100,0,"cluster_2","cluster_2","cluster_2","Increased responsibility and promotion path"
38.46153846153847,4.166666666666666,17.94871794871795,10.204081632653072,23.529411764705877,8.403361344537815,25,37.5,26.84810681740656,79.57852483692925,0,0,100,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,100,0,0,0,0,100,"cluster_1","cluster_1","cluster_1","Specialized skill improvement and regular feedback"
96.15384615384616,72.91666666666666,28.205128205128197,4.081632653061234,2.941176470588232,0,37.5,75,99.53323076708878,14.826894129453086,64.28571428571428,0,100,0,100,0,0,0,100,0,0,100,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,0,100,0,0,100,0,100,0,"cluster_2","cluster_2","cluster_2","Increased responsibility and promotion path"
